Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
2013-10-30,61.52042007446289,62.21125450859148,61.29612220240418,61.37687299575979,977213
2013-10-31,62.73161697387695,62.73161697387695,61.323026841096315,61.45760691136743,1392681
2013-11-01,62.00490188598633,62.8034017318317,61.90621027851982,62.8034017318317,801718
2013-11-04,61.125633239746094,61.816474288460846,61.05386314684858,61.816474288460846,1221090
2013-11-05,60.24639892578125,60.91031859058875,59.887521026281355,60.91031859058875,2055563
2013-11-06,60.20155334472656,60.955197827532366,59.80679370614114,60.29127113326741,1369878
2013-11-07,58.94548416137695,59.97725584901731,58.64044230930737,59.97725584901731,2614803
2013-11-08,58.74808883666992,58.99032747380018,58.07519536738703,58.460987896910275,1497071
2013-11-11,58.685298919677734,59.00828156015551,58.42511256496329,58.72118055582025,823406
2013-11-12,57.90474319458008,58.60455150518711,57.81502540899451,58.362312799603245,1912171
2013-11-13,58.40715408325195,58.523793336707904,57.68940512787459,57.68940512787459,1409659
2013-11-14,59.15182876586914,60.05799398866494,58.631456115548616,58.71220690026661,1939341
2013-11-15,59.376136779785156,59.528657699777064,58.86473787243774,59.295385981241736,1508212
2013-11-18,59.394081115722656,59.55557587734362,58.801938219798224,59.438943433684074,1177722
2013-11-19,59.510711669921875,59.9054712609224,58.96342432725649,59.277439971811795,1567086
2013-11-20,59.465850830078125,59.71706335193884,58.99034043583781,59.277441438682594,1056312
2013-11-21,60.02210235595703,60.13873476660994,58.95444246488371,59.16976647109937,910953
2013-11-22,60.363033294677734,60.65013425459786,60.03107687400477,60.291256343441,1507340
2013-11-25,61.269203186035156,61.323032481083686,60.70397505294352,60.883410599790196,1336010
2013-11-26,61.287139892578125,61.933118769948294,61.000038929861034,61.681906283199204,1484869
2013-11-27,61.95106506347656,61.98694669362593,61.40377779583772,61.40377779583772,932886
2013-11-28,61.96002197265625,62.220208241601874,61.70880953230202,61.92413350331627,467144
2013-11-29,61.807525634765625,62.16640362552985,61.76266331903447,61.99593503978547,717665
2013-12-02,62.13050079345703,62.35479863025652,61.69984593499025,61.96003224708086,948641
2013-12-03,61.84341049194336,62.372750192383975,61.72677806092118,62.256117761361786,1119021
2013-12-04,61.367889404296875,62.1753629842929,61.01798532713639,62.1753629842929,1064651
2013-12-05,59.9862174987793,60.88340889798925,59.9862174987793,60.47070167575593,1790043
2013-12-06,60.13874053955078,60.255379806427065,59.03519891236408,60.02210811770189,1474911
2013-12-09,60.22846221923828,60.72192027641963,59.97724969741063,60.12080362132805,1077549
2013-12-10,59.573509216308594,60.623221491895855,59.573509216308594,59.86958401558511,1115168
2013-12-11,59.62734603881836,59.90547321233764,59.214638771812105,59.268468071195734,1271176
2013-12-12,58.56865310668945,59.50173297787778,58.56865310668945,59.39406754638512,1386668
2013-12-13,57.85090637207031,58.49687845133208,57.77015558402047,58.40716067740912,904556
2013-12-16,57.85987854003906,58.28155964477408,57.02549358478727,57.492033580501456,1546874
2013-12-17,57.303627014160156,58.29053983594357,57.303627014160156,57.63558695063947,1381224
2013-12-18,58.075199127197266,58.43407019136051,57.393331784238875,57.42024642954844,1323162
2013-12-19,59.49275588989258,59.582480500403946,58.5865975599631,58.5865975599631,1423781
2013-12-20,59.968257904052734,60.66807280599796,59.367141429009195,59.591439234177,2013582
2013-12-23,60.68602752685547,60.73985682202429,60.11182556163014,60.3630380657878,645779
2013-12-24,60.78470230102539,61.17049478131263,60.66806991211082,60.686010723857116,242949
2013-12-27,61.63704299926758,61.68190530477267,61.143591863845465,61.33200122591865,620544
2013-12-30,60.94621276855469,61.977984259287894,60.93723893784508,61.870318825854326,652623
2013-12-31,61.04490280151367,61.233312171407064,60.91032272443923,61.03592897103483,162433
2014-01-02,60.79368591308594,61.879286591619866,60.53349960822675,61.53834950834327,1206949
2014-01-03,60.78470230102539,61.16152095292674,60.33610671208793,60.73984000412146,627750
2014-01-06,59.25949478149414,60.596308052544224,59.20565864280891,60.47070180399064,1064561
2014-01-07,58.78398513793945,59.1249222949617,58.469969476230574,59.0352045123346,1520073
2014-01-08,58.94548416137695,59.08006426759588,58.75707475068188,58.99034647845944,1425300
2014-01-09,59.555564880371094,60.77574577730486,59.28641155738793,60.228458455370124,2105556
2014-01-10,59.447906494140625,59.96827232504638,59.23257562097882,59.681171339191415,969058
2014-01-13,59.609405517578125,59.78884107976915,59.106973622392985,59.74397876670743,631326
2014-01-14,59.7170524597168,59.797803238459224,57.82397821452206,58.317436181763,1629948
2014-01-15,58.99931335449219,59.9951964400514,58.89164791320577,59.9951964400514,1788486
2014-01-16,56.3256721496582,58.7570598993537,55.778384875720185,58.68528979320216,3965783
2014-01-17,55.67072296142578,56.244924881726845,55.06063256547755,55.9847419895684,2982199
2014-01-20,57.6445426940918,57.67145733866689,55.715579974233606,55.80530116033939,1781196
2014-01-21,56.61278533935547,57.43819992113968,56.14624874596431,57.42025910198276,2167100
2014-01-22,60.56939697265625,61.484529243871364,58.182864419540586,58.227726730249024,5895336
2014-01-23,57.85987854003906,60.14771962763081,57.698383794502845,59.663235391022155,3766240
2014-01-24,57.7701530456543,59.438929578401,57.5279143822033,58.173886433081655,3182817
2014-01-27,57.88678741455078,58.29950149143159,57.48305401350617,57.913708906977426,1738248
2014-01-28,57.07033920288086,57.922668200800416,57.061365373263676,57.88677972735808,1587601
2014-01-29,56.78325271606445,58.05726304498181,55.805313812136234,57.366425156655076,2056605
2014-01-30,56.881935119628906,57.82398196589588,56.62174879684269,56.72941080462841,1475436
2014-01-31,56.50511932373047,56.50511932373047,55.31185642819485,56.41540154422153,1881631
2014-02-03,56.39745330810547,57.160064647442795,56.32567635157253,56.35259442152922,1644360
2014-02-04,56.101375579833984,56.361561899970006,55.670724130564096,56.18212294047918,1483924
2014-02-05,56.04754638671875,56.63969255832469,55.76044542003184,55.823248542587514,1311035
2014-02-06,57.18698501586914,57.420253288949425,56.28081972704518,56.5589503110185,1422877
2014-02-07,57.29463577270508,57.617625181582426,56.810151659389064,57.312580009033056,1146534
2014-02-10,57.429222106933594,57.83295548961716,57.19595043170262,57.420248276532824,998079
2014-02-11,58.5776252746582,58.658369212215646,57.55482766210244,57.55482766210244,1082188
2014-02-12,58.26361083984375,58.810898133306026,58.102116116444606,58.649403409906874,1316203
2014-02-13,57.81501770019531,58.42510814387001,57.43819209893494,58.27258039918082,1151513
2014-02-14,58.18285369873047,58.712200118436584,57.8688381167148,57.93164123311794,1333800
2014-02-17,58.98136520385742,59.187722253359084,58.34436008282797,58.43407786064395,711137
